Sequence	Position	Raw Binding (log ratio)
SEQ1	1232	-0.589
SEQ1	1233	0.497
SEQ1	1234	1.08
SEQ1	1235	1.17
SEQ1	1236	0.681
SEQ1	1237	-0.0269
SEQ1	1238	-0.887
SEQ1	1239	-1.7
SEQ1	1240	-1.82
SEQ1	1241	-1.78
SEQ1	1242	-1.37
SEQ1	1243	-1.27
SEQ1	1244	-0.941
SEQ1	1245	-0.953
SEQ1	1246	-0.958
SEQ1	1247	-0.884
SEQ1	1248	-0.937
SEQ1	1249	-0.851
SEQ1	1250	-0.77
SEQ1	1251	-0.407
SEQ1	1252	-0.236
SEQ1	1253	0.0634
SEQ1	1254	-0.253
SEQ1	1255	-0.52
SEQ1	1256	-0.986
SEQ1	1257	-1.37
SEQ1	1258	-1.97
SEQ1	1259	-2.66
SEQ1	1260	-2.95
SEQ1	1261	-2.75
SEQ1	1262	-2.09
SEQ1	1263	-1.51
SEQ1	1264	-0.998
SEQ1	1265	-0.639
SEQ1	1266	-0.552
SEQ1	1267	-0.444
SEQ1	1268	-0.776
SEQ1	1269	-0.818
SEQ1	1270	-0.987
SEQ1	1271	-0.715
SEQ1	1272	-0.367
SEQ1	1273	0.0871
SEQ1	1274	0.405
SEQ1	1275	0.527
SEQ1	1276	0.725
SEQ1	1277	0.369
SEQ1	1278	0.184
SEQ1	1279	-0.00706
SEQ1	1280	0.171
SEQ1	1281	0.819
SEQ1	1282	1.03
SEQ1	1283	1.39
SEQ1	1284	1.52
SEQ1	1285	1.5
SEQ1	1286	1.01
SEQ1	1287	0.558
SEQ1	1288	0.298
SEQ1	1289	0.0248
SEQ1	1290	-0.00967
SEQ1	1291	-0.162
SEQ1	1292	0.0337
SEQ1	1293	0.282
SEQ1	1294	0.668
SEQ1	1295	0.832
SEQ1	1296	0.961
SEQ1	1297	1.21
SEQ1	1298	1.06
SEQ1	1299	1.14
SEQ1	1300	0.886
SEQ1	1301	0.627
SEQ1	1302	0.0778
SEQ1	1303	-0.081
SEQ1	1304	-0.385
SEQ1	1305	-0.356
SEQ1	1306	-0.396
SEQ1	1307	-0.0639
SEQ1	1308	-0.0246
SEQ1	1309	0.241
SEQ1	1310	0.902
SEQ1	1311	1.24
SEQ1	1312	1.6
SEQ1	1313	1.18
SEQ1	1314	0.808
SEQ1	1315	0.115
SEQ1	1316	-0.0225
SEQ1	1317	-0.147
SEQ1	1318	0.0699
SEQ1	1319	0.387
SEQ1	1320	0.396
SEQ1	1321	0.502
SEQ1	1322	0.355
SEQ1	1323	0.291
SEQ1	1324	0.178
SEQ1	1325	0.0467
SEQ1	1326	-0.331
SEQ1	1327	-0.334
SEQ1	1328	-0.246
SEQ1	1329	0.0852
SEQ1	1330	0.288
SEQ1	1331	0.468
SEQ1	1332	0.505
SEQ1	1333	0.431
SEQ1	1334	0.688
SEQ1	1335	0.796
SEQ1	1336	0.684
SEQ1	1337	0.672
SEQ1	1338	0.706
SEQ1	1339	0.512
SEQ1	1340	0.539
SEQ1	1341	1.07
SEQ1	1342	1.54
SEQ1	1343	1.88
SEQ1	1344	2.22
SEQ1	1345	2.05
SEQ1	1346	2.01
SEQ1	1347	1.64
SEQ1	1348	1.62
SEQ1	1349	1.24
SEQ1	1350	1.08
SEQ1	1351	0.844
SEQ1	1352	0.598
SEQ1	1353	0.611
SEQ1	1354	0.615
SEQ1	1355	1.06
SEQ1	1356	1.31
SEQ1	1357	1.33
SEQ1	1358	1.37
SEQ1	1359	1.78
SEQ1	1360	1.99
SEQ1	1361	1.93
SEQ1	1362	2.12
SEQ1	1363	1.96
SEQ1	1364	1.65
SEQ1	1365	1.45
SEQ1	1366	1.19
SEQ1	1367	1.13
SEQ1	1368	1.24
SEQ1	1369	1.55
SEQ1	1370	1.48
SEQ1	1371	1.34
SEQ1	1372	0.913
SEQ1	1373	0.742
SEQ1	1374	0.46
SEQ1	1375	0.69
SEQ1	1376	1.12
SEQ1	1377	1.86
SEQ1	1378	1.86
SEQ1	1379	1.5
SEQ1	1380	0.738
SEQ1	1381	0.242
SEQ1	1382	-0.332
SEQ1	1383	-0.601
SEQ1	1384	-0.624
SEQ1	1385	-0.561
SEQ1	1386	-0.526
SEQ1	1387	-0.717
SEQ1	1388	-0.611
SEQ1	1389	-0.227
SEQ1	1390	0.546
SEQ1	1391	0.73
SEQ1	1392	0.635
SEQ1	1393	0.191
SEQ1	1394	-0.129
SEQ1	1395	-0.412
SEQ1	1396	-0.19
SEQ1	1397	0.21
SEQ1	1398	0.558
SEQ1	1399	0.433
SEQ1	1400	0.128
SEQ1	1401	-0.142
SEQ1	1402	-0.65
SEQ1	1403	-1.19
SEQ1	1404	-1.02
SEQ1	1405	-0.209
SEQ1	1406	0.512
SEQ1	1407	0.844
SEQ1	1408	1.22
SEQ1	1409	1.29
SEQ1	1410	1.28
SEQ1	1411	1.02
SEQ1	1412	0.536
SEQ1	1413	-0.232
SEQ1	1414	-0.815
SEQ1	1415	-1.07
SEQ1	1416	-0.534
SEQ1	1417	0.161
SEQ1	1418	0.923
SEQ1	1419	1.4
SEQ1	1420	1.6
SEQ1	1421	1.52
SEQ1	1422	1.31
SEQ1	1423	1
SEQ1	1424	1.07
SEQ1	1425	0.909
SEQ1	1426	0.892
SEQ1	1427	0.499
SEQ1	1428	0.648
SEQ1	1429	1.03
SEQ1	1430	1.48
SEQ1	1431	1.68
SEQ1	1432	1.83
SEQ1	1433	1.69
SEQ1	1434	1.48
SEQ1	1435	0.607
SEQ1	1436	0.463
SEQ1	1437	0.334
SEQ1	1438	0.712
SEQ1	1439	1.26
SEQ1	1440	1.47
SEQ1	1441	1.11
SEQ1	1442	0.357
SEQ1	1443	-0.331
SEQ1	1444	-0.983
SEQ1	1445	-1.09
SEQ1	1446	-0.942
SEQ1	1447	-0.756
SEQ1	1448	-0.619
SEQ1	1449	-0.645
SEQ1	1450	-0.596
SEQ1	1451	-0.234
SEQ1	1452	0.135
SEQ1	1453	0.425
SEQ1	1454	0.21
SEQ1	1455	-0.141
SEQ1	1456	-0.642
SEQ1	1457	-0.71
SEQ1	1458	-0.488
SEQ1	1459	0.251
SEQ1	1460	0.797
SEQ1	1461	0.768
SEQ1	1462	0.601
SEQ1	1463	0.124
SEQ1	1464	-0.0473
SEQ1	1465	0.171
SEQ1	1466	0.472
SEQ1	1467	0.606
SEQ1	1468	0.889
SEQ1	1469	0.339
SEQ1	1470	-0.075
SEQ1	1471	-0.139
SEQ1	1472	-0.102
SEQ1	1473	-0.0792
SEQ1	1474	-0.185
SEQ1	1475	-0.474
SEQ1	1476	-0.689
SEQ1	1477	-0.981
SEQ1	1478	-0.791
SEQ1	1479	0.273
SEQ1	1480	1.2
SEQ1	1481	1.38
SEQ1	1482	1.19
SEQ1	1483	0.787
SEQ1	1484	0.574
SEQ1	1485	0.405
SEQ1	1486	0.678
SEQ1	1487	0.908
SEQ1	1488	0.863
SEQ1	1489	0.406
SEQ1	1490	0.0971
SEQ1	1491	0.252
SEQ1	1492	0.476
SEQ1	1493	0.47
SEQ1	1494	0.356
SEQ1	1495	0.128
SEQ1	1496	0.0715
SEQ1	1497	-0.336
SEQ1	1498	-0.485
SEQ1	1499	-0.357
SEQ1	1500	0.123
SEQ1	1501	0.864
SEQ1	1502	1.09
SEQ1	1503	1.02
SEQ1	1504	0.699
SEQ1	1505	0.532
SEQ1	1506	0.0819
SEQ1	1507	-0.253
SEQ1	1508	-0.463
SEQ1	1509	-0.729
SEQ1	1510	-0.855
SEQ1	1511	-0.746
SEQ1	1512	-0.457
SEQ1	1513	-0.0182
SEQ1	1514	0.12
SEQ1	1515	-0.0113
SEQ1	1516	-0.484
SEQ1	1517	-0.409
SEQ1	1518	0.131
SEQ1	1519	0.371
SEQ1	1520	0.606
SEQ1	1521	0.744
SEQ1	1522	0.476
SEQ1	1523	0.0187
SEQ1	1524	-0.626
SEQ1	1525	-1.12
SEQ1	1526	-1.23
SEQ1	1527	-1.3
SEQ1	1528	-1
SEQ1	1529	-0.523
SEQ1	1530	-0.0656
SEQ1	1531	0.46
SEQ1	1532	0.54
SEQ1	1533	0.606
SEQ1	1534	0.819
SEQ1	1535	0.234
SEQ1	1536	-0.319
SEQ1	1537	-0.995
SEQ1	1538	-1.36
SEQ1	1539	-1.08
SEQ1	1540	-0.577
SEQ1	1541	0.322
SEQ1	1542	0.983
SEQ1	1543	0.717
SEQ1	1544	-0.215
SEQ1	1545	-1.44
SEQ1	1546	-1.95
SEQ1	1547	-2.19
SEQ1	1548	-2.03
SEQ1	1549	-1.61
SEQ1	1550	-0.452
SEQ1	1551	0.469
SEQ1	1552	1.14
SEQ1	1553	1.32
SEQ1	1554	1.07
SEQ1	1555	0.495
SEQ1	1556	-0.424
SEQ1	1557	-1.53
SEQ1	1558	-2.04
SEQ1	1559	-2.17
SEQ1	1560	-1.79
SEQ1	1561	-0.926
SEQ1	1562	-0.271
SEQ1	1563	0.209
SEQ1	1564	0.168
SEQ1	1565	0.153
SEQ1	1566	-0.249
SEQ1	1567	-0.0214
SEQ1	1568	0.126
SEQ1	1569	0.186
SEQ1	1570	0.107
SEQ1	1571	-0.0102
SEQ1	1572	-0.324
SEQ1	1573	-0.599
SEQ1	1574	-0.852
SEQ1	1575	-1.3
SEQ1	1576	-1.54
SEQ1	1577	-1.43
SEQ1	1578	-1.35
SEQ1	1579	-0.819
SEQ1	1580	-0.0527
SEQ1	1581	0.494
SEQ1	1582	0.688
SEQ1	1583	0.443
SEQ1	1584	-0.388
SEQ1	1585	-1.04
SEQ1	1586	-1.06
SEQ1	1587	-1.07
SEQ1	1588	-0.717
SEQ1	1589	-0.254
SEQ1	1590	-0.233
SEQ1	1591	-0.411
SEQ1	1592	-0.61
SEQ1	1593	-0.903
SEQ1	1594	-1.35
SEQ1	1595	-1.47
SEQ1	1596	-1.31
SEQ1	1597	-1.16
SEQ1	1598	-0.877
SEQ1	1599	-0.34
SEQ1	1600	0.0378
SEQ1	1601	0.619
SEQ1	1602	0.777
SEQ1	1603	0.515
SEQ1	1604	0.05
SEQ1	1605	-0.476
SEQ1	1606	-1.1
SEQ1	1607	-1.26
SEQ1	1608	-1.1
SEQ1	1609	-0.713
SEQ1	1610	-0.218
SEQ1	1611	0.235
SEQ1	1612	0.624
SEQ1	1613	0.455
SEQ1	1614	-0.174
SEQ1	1615	-0.778
SEQ1	1616	-1.25
SEQ1	1617	-1.38
SEQ1	1618	-1.41
SEQ1	1619	-1.21
SEQ1	1620	-0.622
SEQ1	1621	-0.247
SEQ1	1622	-0.0498
SEQ1	1623	0.0316
SEQ1	1624	-0.0465
SEQ1	1625	-0.417
SEQ1	1626	-0.528
SEQ1	1627	-0.963
SEQ1	1628	-0.843
SEQ1	1629	-0.884
SEQ1	1630	-0.375
SEQ1	1631	-0.0911
SEQ1	1632	0.0621
SEQ1	1633	0.268
SEQ1	1634	0.0655
SEQ1	1635	0.0651
SEQ1	1636	0.0558
SEQ1	1637	-0.279
SEQ1	1638	-0.68
SEQ1	1639	-0.702
SEQ1	1640	-0.979
SEQ1	1641	-0.753
SEQ1	1642	-0.719
SEQ1	1643	-0.899
SEQ1	1644	-1.05
SEQ1	1645	-1.28
SEQ1	1646	-1.08
SEQ1	1647	-1.22
SEQ1	1648	-0.716
SEQ1	1649	-0.321
SEQ1	1650	0.378
SEQ1	1651	0.939
SEQ1	1652	1.05
SEQ1	1653	0.911
SEQ1	1654	0.547
SEQ1	1655	-0.0588
SEQ1	1656	-0.42
SEQ1	1657	-0.639
SEQ1	1658	-0.838
SEQ1	1659	-0.63
SEQ1	1660	0.0658
SEQ1	1661	0.824
SEQ1	1662	1.17
SEQ1	1663	1.29
SEQ1	1664	1.06
SEQ1	1665	0.63
SEQ1	1666	0.65
SEQ1	1667	0.71
SEQ1	1668	1.15
SEQ1	1669	1.26
SEQ1	1670	1.46
SEQ1	1671	1.23
SEQ1	1672	0.634
SEQ1	1673	0.258
SEQ1	1674	0.147
SEQ1	1675	0.0449
SEQ1	1676	-0.177
SEQ1	1677	-0.355
SEQ1	1678	-0.266
SEQ1	1679	0.169
SEQ1	1680	0.63
SEQ1	1681	1.17
SEQ1	1682	1.36
SEQ1	1683	1.26
SEQ1	1684	0.907
SEQ1	1685	0.527
SEQ1	1686	0.0937
SEQ1	1687	0.103
SEQ1	1688	0.232
SEQ1	1689	0.249
SEQ1	1690	0.327
SEQ1	1691	0.411
SEQ1	1692	0.206
SEQ1	1693	-0.0964
SEQ1	1694	-0.548
SEQ1	1695	-1.15
SEQ1	1696	-1.17
SEQ1	1697	-0.966
SEQ1	1698	-0.319
SEQ1	1699	0.153
SEQ1	1700	0.568
SEQ1	1701	0.709
SEQ1	1702	0.69
SEQ1	1703	-0.12
SEQ1	1704	-1.02
SEQ1	1705	-1.9
SEQ1	1706	-2.66
SEQ1	1707	-2.47
SEQ1	1708	-2.42
SEQ1	1709	-1.74
SEQ1	1710	-1.01
SEQ1	1711	-0.534
SEQ1	1712	0.0988
SEQ1	1713	0.754
SEQ1	1714	0.653
SEQ1	1715	0.673
SEQ1	1716	0.385
SEQ1	1717	-0.528
SEQ1	1718	-1
SEQ1	1719	-1.29
SEQ1	1720	-0.788
SEQ1	1721	-0.337
SEQ1	1722	0.0839
SEQ1	1723	0.0968
SEQ1	1724	-0.129
SEQ1	1725	-0.707
SEQ1	1726	-1.01
SEQ1	1727	-1.01
SEQ1	1728	-0.732
SEQ1	1729	-0.598
SEQ1	1730	-0.509
SEQ1	1731	-0.342
SEQ1	1732	-0.2
SEQ1	1733	-0.44
SEQ1	1734	-0.392
SEQ1	1735	-0.555
SEQ1	1736	-0.276
SEQ1	1737	-0.285
SEQ1	1738	-0.393
SEQ1	1739	-0.804
SEQ1	1740	-0.888
SEQ1	1741	-1.26
SEQ1	1742	-1.34
SEQ1	1743	-1.21
SEQ1	1744	-0.934
SEQ1	1745	-0.936
SEQ1	1746	-0.902
SEQ1	1747	-1.02
SEQ1	1748	-0.639
SEQ1	1749	-0.356
SEQ1	1750	-0.273
SEQ1	1751	-0.296
SEQ1	1752	-0.139
SEQ1	1753	-0.337
SEQ1	1754	-1.01
SEQ1	1755	-1.61
SEQ1	1756	-2.02
SEQ1	1757	-1.98
SEQ1	1758	-1.88
SEQ1	1759	-1.47
SEQ1	1760	-1.36
SEQ1	1761	-1.34
SEQ1	1762	-1.29
SEQ1	1763	-1.22
SEQ1	1764	-1.27
SEQ1	1765	-1.57
SEQ1	1766	-2.05
SEQ1	1767	-2.47
SEQ1	1768	-2.51
SEQ1	1769	-2.16
SEQ1	1770	-1.84
SEQ1	1771	-1.25
SEQ1	1772	-0.758
SEQ1	1773	-1.03
SEQ1	1774	-1.46
SEQ1	1775	-1.85
SEQ1	1776	-2.21
SEQ1	1777	-2.47
SEQ1	1778	-2.6
SEQ1	1779	-2.19
SEQ1	1780	-1.59
SEQ1	1781	-0.43
SEQ1	1782	0.0433
SEQ1	1783	0.388
SEQ1	1784	0.536
SEQ1	1785	0.352
SEQ1	1786	0.00148
SEQ1	1787	-0.256
SEQ1	1788	-0.854
SEQ1	1789	-1.22
SEQ1	1790	-1.15
SEQ1	1791	-1.23
SEQ1	1792	-1.03
SEQ1	1793	-0.65
SEQ1	1794	-0.534
SEQ1	1795	-0.55
SEQ1	1796	-0.695
SEQ1	1797	-1.26
SEQ1	1798	-1.33
SEQ1	1799	-1.67
SEQ1	1800	-1.9
SEQ1	1801	-1.96
SEQ1	1802	-1.55
SEQ1	1803	-1.27
SEQ1	1804	-1.11
SEQ1	1805	-0.76
SEQ1	1806	-0.583
SEQ1	1807	-0.711
SEQ1	1808	-1.11
SEQ1	1809	-1.81
SEQ1	1810	-2.12
SEQ1	1811	-2.18
SEQ1	1812	-2.05
SEQ1	1813	-1.77
SEQ1	1814	-1.54
SEQ1	1815	-0.895
SEQ1	1816	-0.511
SEQ1	1817	0.216
SEQ1	1818	1.01
SEQ1	1819	1.18
SEQ1	1820	1.22
SEQ1	1821	0.585
SEQ1	1822	0.0593
SEQ1	1823	-0.503
SEQ1	1824	-1.02
SEQ1	1825	-1.71
SEQ1	1826	-1.89
SEQ1	1827	-1.56
SEQ1	1828	-1.62
SEQ1	1829	-1.3
SEQ1	1830	-0.927
SEQ1	1831	-1.04
SEQ1	1832	-1.1
SEQ1	1833	-1.42
SEQ1	1834	-2.03
SEQ1	1835	-2.35
SEQ1	1836	-3.09
SEQ1	1837	-3.32
SEQ1	1838	-3.22
SEQ1	1839	-2.26
SEQ1	1840	-1.34
SEQ1	1841	-1.03
SEQ1	1842	-0.863
SEQ1	1843	-0.82
SEQ1	1844	-1.25
SEQ1	1845	-1.38
SEQ1	1846	-1.51
SEQ1	1847	-1.35
SEQ1	1848	-1.04
SEQ1	1849	-0.892
SEQ1	1850	-0.453
SEQ1	1851	0.018
SEQ1	1852	0.723
SEQ1	1853	1.22
SEQ1	1854	0.993
SEQ1	1855	0.996
SEQ1	1856	0.868
SEQ1	1857	0.549
SEQ1	1858	0.26
SEQ1	1859	0.101
SEQ1	1860	0.199
SEQ1	1861	0.864
SEQ1	1862	0.834
SEQ1	1863	0.791
SEQ1	1864	0.582
SEQ1	1865	0.232
SEQ1	1866	-0.203
SEQ1	1867	-0.757
SEQ1	1868	-1.18
SEQ1	1869	-1.13
SEQ1	1870	-0.91
SEQ1	1871	-0.693
SEQ1	1872	-0.421
SEQ1	1873	-0.0772
SEQ1	1874	0.381
SEQ1	1875	0.552
SEQ1	1876	0.298
SEQ1	1877	-0.0298
SEQ1	1878	-0.827
SEQ1	1879	-1.48
SEQ1	1880	-1.66
SEQ1	1881	-1.65
SEQ1	1882	-1.09
SEQ1	1883	-0.364
SEQ1	1884	-0.125
SEQ1	1885	-0.0281
SEQ1	1886	-0.0734
SEQ1	1887	-0.276
SEQ1	1888	-0.797
SEQ1	1889	-1.16
SEQ1	1890	-2.02
SEQ1	1891	-2.8
SEQ1	1892	-3.18
SEQ1	1893	-3.29
SEQ1	1894	-2.62
SEQ1	1895	-1.89
SEQ1	1896	-1.09
SEQ1	1897	-0.787
SEQ1	1898	-0.682
SEQ1	1899	-0.749
SEQ1	1900	-1.27
SEQ1	1901	-1.74
SEQ1	1902	-2.21
SEQ1	1903	-2.52
SEQ1	1904	-3.04
SEQ1	1905	-3.38
SEQ1	1906	-3.23
SEQ1	1907	-3.17
SEQ1	1908	-2.61
SEQ1	1909	-1.89
SEQ1	1910	-1.15
SEQ1	1911	-0.677
SEQ1	1912	-0.625
SEQ1	1913	-0.729
SEQ1	1914	-0.665
SEQ1	1915	-0.791
SEQ1	1916	-0.955
SEQ1	1917	-0.909
SEQ1	1918	-1.23
SEQ1	1919	-1.21
SEQ1	1920	-1.14
SEQ1	1921	-0.894
SEQ1	1922	-0.87
SEQ1	1923	-0.813
SEQ1	1924	-0.842
SEQ1	1925	-1.09
SEQ1	1926	-1.19
SEQ1	1927	-1
SEQ1	1928	-0.953
SEQ1	1929	-0.933
SEQ1	1930	-0.808
SEQ1	1931	-0.766
SEQ1	1932	-0.589
SEQ1	1933	-0.572
SEQ1	1934	-0.511
SEQ1	1935	-0.649
SEQ1	1936	-0.484
SEQ1	1937	-0.263
SEQ1	1938	-0.488
SEQ1	1939	-1.17
SEQ1	1940	-1.41
SEQ1	1941	-1.77
SEQ1	1942	-1.84
SEQ1	1943	-1.54
SEQ1	1944	-0.984
SEQ1	1945	-0.355
SEQ1	1946	0.169
SEQ1	1947	0.285
SEQ1	1948	0.0352
SEQ1	1949	-0.141
SEQ1	1950	-0.714
SEQ1	1951	-0.89
SEQ1	1952	-0.939
SEQ1	1953	-0.884
SEQ1	1954	-0.544
SEQ1	1955	-0.0609
SEQ1	1956	0.575
SEQ1	1957	1.35
SEQ1	1958	1.85
SEQ1	1959	1.56
SEQ1	1960	1.27
SEQ1	1961	0.293
SEQ1	1962	-0.452
SEQ1	1963	-1.1
SEQ1	1964	-0.963
SEQ1	1965	-0.801
SEQ1	1966	-0.0744
SEQ1	1967	0.215
SEQ1	1968	0.617
SEQ1	1969	0.611
SEQ1	1970	0.377
SEQ1	1971	0.0657
SEQ1	1972	-0.162
SEQ1	1973	-0.542
SEQ1	1974	-0.988
SEQ1	1975	-1.13
SEQ1	1976	-0.805
SEQ1	1977	-0.0936
SEQ1	1978	0.39
SEQ1	1979	0.748
SEQ1	1980	1.11
SEQ1	1981	0.801
SEQ1	1982	-0.00225
SEQ1	1983	-0.789
SEQ1	1984	-1.37
SEQ1	1985	-1.28
SEQ1	1986	-0.838
SEQ1	1987	-0.616
SEQ1	1988	-0.335
SEQ1	1989	0.0502
SEQ1	1990	0.374
SEQ1	1991	0.65
SEQ1	1992	0.851
SEQ1	1993	0.992
SEQ1	1994	0.9
SEQ1	1995	0.998
SEQ1	1996	1.16
SEQ1	1997	1.35
SEQ1	1998	1.13
SEQ1	1999	0.771
SEQ1	2000	-0.058
SEQ1	2001	-0.398
SEQ1	2002	-0.984
SEQ1	2003	-1.02
SEQ1	2004	-0.815
SEQ1	2005	-0.462
SEQ1	2006	0.0381
SEQ1	2007	0.229
SEQ1	2008	0.297
SEQ1	2009	-0.479
SEQ1	2010	-1.16
SEQ1	2011	-1.3
SEQ1	2012	-1.33
SEQ1	2013	-1.13
SEQ1	2014	-0.797
SEQ1	2015	-0.699
SEQ1	2016	-0.569
SEQ1	2017	-0.488
SEQ1	2018	0.0554
SEQ1	2019	0.623
SEQ1	2020	0.895
SEQ1	2021	0.761
SEQ1	2022	0.326
SEQ1	2023	0.159
SEQ1	2024	0.0717
SEQ1	2025	0.264
SEQ1	2026	0.595
SEQ1	2027	0.948
SEQ1	2028	0.945
SEQ1	2029	0.527
SEQ1	2030	0.0489
SEQ1	2031	-0.329
SEQ1	2032	-0.732
SEQ1	2033	-0.703
SEQ1	2034	-0.629
SEQ1	2035	-0.352
SEQ1	2036	0.195
SEQ1	2037	0.249
SEQ1	2038	-0.266
SEQ1	2039	-0.66
SEQ1	2040	-1.02
SEQ1	2041	-1.76
SEQ1	2042	-2.08
SEQ1	2043	-2.31
SEQ1	2044	-1.57
SEQ1	2045	-0.221
SEQ1	2046	0.821
SEQ1	2047	1.31
SEQ1	2048	1.57
SEQ1	2049	0.959
SEQ1	2050	-0.0484
SEQ1	2051	-0.606
SEQ1	2052	-0.988
SEQ1	2053	-0.931
SEQ1	2054	-0.253
SEQ1	2055	0.588
SEQ1	2056	1.3
SEQ1	2057	1.82
SEQ1	2058	1.48
SEQ1	2059	0.966
SEQ1	2060	0.277
SEQ1	2061	-0.278
SEQ1	2062	-0.63
SEQ1	2063	-1.1
SEQ1	2064	-1.5
SEQ1	2065	-1.7
SEQ1	2066	-1.18
SEQ1	2067	-0.696
SEQ1	2068	-0.154
SEQ1	2069	0.0467
SEQ1	2070	-0.113
SEQ1	2071	-0.856
SEQ1	2072	-1.39
SEQ1	2073	-1.5
SEQ1	2074	-1.33
SEQ1	2075	-1.09
SEQ1	2076	-1.07
SEQ1	2077	-0.818
SEQ1	2078	-0.781
SEQ1	2079	-0.566
SEQ1	2080	-0.571
SEQ1	2081	-0.463
SEQ1	2082	-0.154
SEQ1	2083	0.0996
SEQ1	2084	0.0643
SEQ1	2085	0.405
SEQ1	2086	0.654
SEQ1	2087	0.747
SEQ1	2088	0.908
SEQ1	2089	1.15
SEQ1	2090	0.937
SEQ1	2091	0.599
SEQ1	2092	0.437
SEQ1	2093	0.401
SEQ1	2094	0.707
SEQ1	2095	1.07
SEQ1	2096	1.1
SEQ1	2097	0.988
SEQ1	2098	0.593
SEQ1	2099	-0.12
SEQ1	2100	-0.67
SEQ1	2101	-1.3
SEQ1	2102	-1.42
SEQ1	2103	-1.47
SEQ1	2104	-1.1
SEQ1	2105	-0.507
SEQ1	2106	-0.429
SEQ1	2107	-0.374
SEQ1	2108	-0.744
SEQ1	2109	-1.21
SEQ1	2110	-1.33
SEQ1	2111	-1.5
SEQ1	2112	-1.55
SEQ1	2113	-1.21
SEQ1	2114	-0.641
SEQ1	2115	-0.177
SEQ1	2116	0.546
SEQ1	2117	1.14
SEQ1	2118	1.09
SEQ1	2119	0.751
SEQ1	2120	0.211
SEQ1	2121	-0.389
SEQ1	2122	-0.396
SEQ1	2123	-0.231
SEQ1	2124	0.116
SEQ1	2125	0.573
SEQ1	2126	0.837
SEQ1	2127	0.952
SEQ1	2128	1.11
SEQ1	2129	1.21
SEQ1	2130	0.732
SEQ1	2131	0.459
SEQ1	2132	-0.0554
SEQ1	2133	-0.199
SEQ1	2134	-0.201
SEQ1	2135	-0.39
SEQ1	2136	-0.218
SEQ1	2137	0.161
SEQ1	2138	0.442
SEQ1	2139	0.571
SEQ1	2140	0.355
SEQ1	2141	-0.0585
SEQ1	2142	-0.624
SEQ1	2143	-1.28
SEQ1	2144	-1.57
SEQ1	2145	-1.32
SEQ1	2146	-1.16
SEQ1	2147	-0.898
SEQ1	2148	-0.773
SEQ1	2149	-0.666
SEQ1	2150	-0.742
SEQ1	2151	-0.995
SEQ1	2152	-1.48
SEQ1	2153	-1.72
SEQ1	2154	-1.53
SEQ1	2155	-1.17
SEQ1	2156	-0.571
SEQ1	2157	-0.346
SEQ1	2158	-0.199
SEQ1	2159	-0.322
SEQ1	2160	-0.564
SEQ1	2161	-0.986
SEQ1	2162	-1.36
SEQ1	2163	-1.5
SEQ1	2164	-1.68
SEQ1	2165	-1.71
SEQ1	2166	-1.47
SEQ1	2167	-0.967
SEQ1	2168	-0.772
SEQ1	2169	-0.675
SEQ1	2170	-0.738
SEQ1	2171	-0.748
SEQ1	2172	-0.954
SEQ1	2173	-1.09
SEQ1	2174	-1.29
SEQ1	2175	-1.47
SEQ1	2176	-1.18
SEQ1	2177	-0.869
SEQ1	2178	-0.409
SEQ1	2179	0.00984
SEQ1	2180	-0.212
SEQ1	2181	-0.579
SEQ1	2182	-1.01
SEQ1	2183	-1.46
SEQ1	2184	-1.07
SEQ1	2185	-0.239
SEQ1	2186	0.452
SEQ1	2187	0.872
SEQ1	2188	0.923
SEQ1	2189	0.425
SEQ1	2190	0.398
SEQ1	2191	0.273
SEQ1	2192	0.133
SEQ1	2193	-0.00581
SEQ1	2194	0.159
SEQ1	2195	0.12
SEQ1	2196	-0.0533
SEQ1	2197	-0.0384
SEQ1	2198	0.0106
SEQ1	2199	0.0652
SEQ1	2200	0.291
SEQ1	2201	0.254
SEQ1	2202	-0.15
SEQ1	2203	-0.74
SEQ1	2204	-1.28
SEQ1	2205	-1.33
SEQ1	2206	-1.1
SEQ1	2207	-1.03
SEQ1	2208	-0.82
SEQ1	2209	-0.903
SEQ1	2210	-0.976
SEQ1	2211	-0.88
SEQ1	2212	-0.718
SEQ1	2213	-0.823
SEQ1	2214	-0.622
SEQ1	2215	-0.603
SEQ1	2216	-0.717
SEQ1	2217	-0.849
SEQ1	2218	-1.02
SEQ1	2219	-0.972
SEQ1	2220	-0.838
SEQ1	2221	-0.83
SEQ1	2222	-0.591
SEQ1	2223	-0.562
SEQ1	2224	-0.757
SEQ1	2225	-0.512
SEQ1	2226	-0.165
SEQ1	2227	0.303
SEQ1	2228	0.288
SEQ1	2229	0.114
SEQ1	2230	-0.128
SEQ1	2231	-0.289
SEQ1	2232	-0.469
SEQ1	2233	-0.281
SEQ1	2234	0.221
SEQ1	2235	0.327
SEQ1	2236	0.555
SEQ1	2237	0.719
SEQ1	2238	0.799
SEQ1	2239	1.36
SEQ1	2240	1.45
SEQ1	2241	1.43
SEQ1	2242	1.05
SEQ1	2243	0.48
SEQ1	2244	-0.0834
SEQ1	2245	-0.347
SEQ1	2246	-0.32
SEQ1	2247	0.0678
SEQ1	2248	0.899
SEQ1	2249	1.21
SEQ1	2250	1.47
SEQ1	2251	1.36
SEQ1	2252	0.961
SEQ1	2253	0.808
SEQ1	2254	0.575
SEQ1	2255	0.552
