Sequence	Position	P start	P occupied
SEQ1	2110	0.00556	0.645
SEQ1	2111	0.00597	0.649
SEQ1	2112	0.00684	0.654
SEQ1	2113	0.00955	0.662
SEQ1	2114	0.0168	0.677
SEQ1	2115	0.0204	0.694
SEQ1	2116	0.0185	0.706
SEQ1	2117	0.00983	0.704
SEQ1	2118	0.0045	0.686
SEQ1	2119	0.00193	0.666
SEQ1	2120	0.00184	0.652
SEQ1	2121	0.00253	0.646
SEQ1	2122	0.00504	0.645
SEQ1	2123	0.012	0.652
SEQ1	2124	0.0241	0.670
SEQ1	2125	0.0409	0.703
SEQ1	2126	0.0478	0.739
SEQ1	2127	0.0278	0.754
SEQ1	2128	0.0107	0.749
SEQ1	2129	0.00355	0.735
SEQ1	2130	0.000966	0.716
SEQ1	2131	0.000603	0.704
SEQ1	2132	0.000381	0.695
SEQ1	2133	0.000647	0.690
SEQ1	2134	0.00192	0.687
SEQ1	2135	0.00763	0.689
SEQ1	2136	0.024	0.709
SEQ1	2137	0.0318	0.736
SEQ1	2138	0.0204	0.750
SEQ1	2139	0.00742	0.749
SEQ1	2140	0.00349	0.743
SEQ1	2141	0.00181	0.737
SEQ1	2142	0.00227	0.734
SEQ1	2143	0.00264	0.733
SEQ1	2144	0.00434	0.736
SEQ1	2145	0.00447	0.739
SEQ1	2146	0.00458	0.742
SEQ1	2147	0.00547	0.745
SEQ1	2148	0.0087	0.750
SEQ1	2149	0.0129	0.760
SEQ1	2150	0.0137	0.770
SEQ1	2151	0.00875	0.776
SEQ1	2152	0.00326	0.776
SEQ1	2153	0.00213	0.777
SEQ1	2154	0.00211	0.778
SEQ1	2155	0.0035	0.780
SEQ1	2156	0.00995	0.788
SEQ1	2157	0.0166	0.800
SEQ1	2158	0.0248	0.821
SEQ1	2159	0.023	0.839
SEQ1	2160	0.0178	0.853
SEQ1	2161	0.0107	0.861
SEQ1	2162	0.00792	0.867
SEQ1	2163	0.00644	0.873
SEQ1	2164	0.00601	0.878
SEQ1	2165	0.00511	0.882
SEQ1	2166	0.00278	0.884
SEQ1	2167	0.00222	0.885
SEQ1	2168	0.00226	0.886
SEQ1	2169	0.00232	0.886
SEQ1	2170	0.00457	0.888
SEQ1	2171	0.00705	0.893
SEQ1	2172	0.00945	0.900
SEQ1	2173	0.00748	0.906
SEQ1	2174	0.00603	0.911
SEQ1	2175	0.00414	0.914
SEQ1	2176	0.00536	0.918
SEQ1	2177	0.00558	0.922
SEQ1	2178	0.00399	0.925
SEQ1	2179	0.00234	0.924
SEQ1	2180	0.00125	0.922
SEQ1	2181	0.000934	0.920
SEQ1	2182	0.00102	0.919
SEQ1	2183	0.0016	0.919
SEQ1	2184	0.00259	0.920
SEQ1	2185	0.00533	0.924
SEQ1	2186	0.00598	0.927
SEQ1	2187	0.00566	0.928
SEQ1	2188	0.00478	0.925
SEQ1	2189	0.00308	0.920
SEQ1	2190	0.00254	0.918
SEQ1	2191	0.00184	0.916
SEQ1	2192	0.00141	0.913
SEQ1	2193	0.00155	0.912
SEQ1	2194	0.00155	0.910
SEQ1	2195	0.00216	0.909
SEQ1	2196	0.00273	0.908
SEQ1	2197	0.0035	0.908
SEQ1	2198	0.00247	0.907
SEQ1	2199	0.00185	0.906
SEQ1	2200	0.000874	0.903
SEQ1	2201	0.000642	0.899
SEQ1	2202	0.000671	0.896
SEQ1	2203	0.00107	0.894
SEQ1	2204	0.0019	0.894
SEQ1	2205	0.00389	0.897
SEQ1	2206	0.00608	0.902
SEQ1	2207	0.00604	0.907
SEQ1	2208	0.00514	0.911
SEQ1	2209	0.00306	0.912
SEQ1	2210	0.00157	0.913
SEQ1	2211	0.000765	0.912
SEQ1	2212	0.000475	0.911
SEQ1	2213	0.000465	0.910
SEQ1	2214	0.000757	0.909
SEQ1	2215	0.00165	0.909
SEQ1	2216	0.00471	0.912
SEQ1	2217	0.00719	0.918
SEQ1	2218	0.00678	0.923
SEQ1	2219	0.00342	0.926
SEQ1	2220	0.00171	0.927
SEQ1	2221	0.000706	0.926
SEQ1	2222	0.000272	0.925
SEQ1	2223	0.000196	0.924
SEQ1	2224	0.000236	0.923
SEQ1	2225	0.000403	0.922
SEQ1	2226	0.000715	0.921
SEQ1	2227	0.0016	0.921
SEQ1	2228	0.00337	0.921
SEQ1	2229	0.00354	0.921
SEQ1	2230	0.00254	0.921
SEQ1	2231	0.00162	0.921
SEQ1	2232	0.00107	0.920
SEQ1	2233	0.000611	0.919
SEQ1	2234	0.00046	0.918
SEQ1	2235	0.000505	0.915
SEQ1	2236	0.00102	0.913
SEQ1	2237	0.00194	0.910
SEQ1	2238	0.00312	0.908
SEQ1	2239	0.00247	0.905
SEQ1	2240	0.0017	0.897
SEQ1	2241	0.00118	0.887
SEQ1	2242	0.000939	0.877
SEQ1	2243	0.000873	0.870
SEQ1	2244	0.00111	0.866
SEQ1	2245	0.00166	0.865
SEQ1	2246	0.00245	0.866
SEQ1	2247	0.00251	0.866
SEQ1	2248	0.00222	0.865
SEQ1	2249	0.00182	0.860
SEQ1	2250	0.00175	0.853
SEQ1	2251	0.00136	0.842
SEQ1	2252	0.00112	0.832
SEQ1	2253	0.000923	0.826
SEQ1	2254	0.000898	0.821
SEQ1	2255	0.00104	0.817
SEQ1	2256	0.00205	0.814
SEQ1	2257	0.00395	0.812
SEQ1	2258	0.00682	0.813
SEQ1	2259	0.00972	0.816
SEQ1	2260	0.0101	0.817
SEQ1	2261	0.00538	0.805
SEQ1	2262	0.00468	0.790
SEQ1	2263	0.00344	0.775
SEQ1	2264	0.00508	0.770
SEQ1	2265	0.0094	0.775
SEQ1	2266	0.0131	0.786
SEQ1	2267	0.0183	0.802
SEQ1	2268	0.0114	0.811
SEQ1	2269	0.00796	0.814
SEQ1	2270	0.00442	0.807
SEQ1	2271	0.00376	0.786
SEQ1	2272	0.0036	0.749
SEQ1	2273	0.00469	0.706
SEQ1	2274	0.00541	0.683
SEQ1	2275	0.00668	0.679
SEQ1	2276	0.0077	0.684
SEQ1	2277	0.0138	0.696
SEQ1	2278	0.016	0.712
SEQ1	2279	0.0173	0.729
SEQ1	2280	0.0114	0.739
SEQ1	2281	0.00555	0.743
SEQ1	2282	0.00257	0.738
SEQ1	2283	0.00196	0.716
SEQ1	2284	0.00216	0.686
SEQ1	2285	0.00332	0.669
SEQ1	2286	0.0045	0.666
SEQ1	2287	0.00457	0.667
SEQ1	2288	0.00508	0.671
SEQ1	2289	0.00359	0.672
SEQ1	2290	0.00287	0.672
SEQ1	2291	0.00241	0.670
SEQ1	2292	0.00289	0.669
SEQ1	2293	0.00316	0.667
SEQ1	2294	0.00444	0.666
SEQ1	2295	0.00795	0.666
SEQ1	2296	0.0129	0.666
SEQ1	2297	0.0246	0.676
SEQ1	2298	0.0354	0.703
SEQ1	2299	0.0252	0.725
SEQ1	2300	0.0129	0.736
SEQ1	2301	0.00492	0.739
SEQ1	2302	0.00197	0.737
SEQ1	2303	0.000769	0.728
SEQ1	2304	0.000701	0.712
SEQ1	2305	0.00136	0.689
SEQ1	2306	0.00397	0.670
SEQ1	2307	0.00727	0.659
SEQ1	2308	0.00938	0.658
SEQ1	2309	0.0122	0.662
SEQ1	2310	0.0151	0.671
SEQ1	2311	0.016	0.681
SEQ1	2312	0.0175	0.693
SEQ1	2313	0.0118	0.702
SEQ1	2314	0.00847	0.708
SEQ1	2315	0.00527	0.711
SEQ1	2316	0.00624	0.715
SEQ1	2317	0.00942	0.720
SEQ1	2318	0.00952	0.723
SEQ1	2319	0.0102	0.723
SEQ1	2320	0.00876	0.725
SEQ1	2321	0.00677	0.725
SEQ1	2322	0.0052	0.726
SEQ1	2323	0.00631	0.727
SEQ1	2324	0.0103	0.732
SEQ1	2325	0.0228	0.751
SEQ1	2326	0.0392	0.788
SEQ1	2327	0.0459	0.832
SEQ1	2328	0.03	0.861
SEQ1	2329	0.0146	0.875
SEQ1	2330	0.00745	0.881
SEQ1	2331	0.00595	0.884
SEQ1	2332	0.00463	0.883
SEQ1	2333	0.00611	0.884
SEQ1	2334	0.00897	0.887
SEQ1	2335	0.00634	0.888
SEQ1	2336	0.00375	0.889
SEQ1	2337	0.00216	0.889
SEQ1	2338	0.00221	0.889
SEQ1	2339	0.00231	0.890
SEQ1	2340	0.003	0.892
SEQ1	2341	0.00439	0.894
SEQ1	2342	0.00391	0.896
SEQ1	2343	0.00382	0.897
SEQ1	2344	0.00535	0.899
SEQ1	2345	0.00659	0.903
SEQ1	2346	0.0082	0.910
SEQ1	2347	0.00717	0.916
SEQ1	2348	0.00378	0.919
SEQ1	2349	0.00189	0.920
SEQ1	2350	0.00106	0.920
SEQ1	2351	0.000689	0.919
SEQ1	2352	0.000736	0.916
SEQ1	2353	0.000895	0.911
SEQ1	2354	0.00113	0.906
SEQ1	2355	0.00132	0.902
SEQ1	2356	0.00162	0.900
SEQ1	2357	0.00211	0.901
SEQ1	2358	0.00271	0.903
SEQ1	2359	0.00401	0.906
SEQ1	2360	0.00544	0.911
SEQ1	2361	0.00675	0.917
SEQ1	2362	0.00596	0.922
SEQ1	2363	0.00415	0.921
SEQ1	2364	0.00325	0.917
SEQ1	2365	0.00356	0.914
SEQ1	2366	0.0027	0.913
SEQ1	2367	0.00203	0.914
SEQ1	2368	0.00173	0.915
SEQ1	2369	0.0012	0.916
SEQ1	2370	0.00084	0.916
SEQ1	2371	0.000799	0.917
SEQ1	2372	0.00145	0.918
SEQ1	2373	0.00241	0.920
SEQ1	2374	0.00284	0.921
SEQ1	2375	0.00184	0.919
SEQ1	2376	0.00117	0.917
SEQ1	2377	0.000637	0.915
SEQ1	2378	0.000553	0.914
SEQ1	2379	0.000821	0.914
SEQ1	2380	0.00168	0.915
SEQ1	2381	0.00308	0.917
SEQ1	2382	0.00441	0.921
SEQ1	2383	0.00481	0.925
SEQ1	2384	0.00369	0.927
SEQ1	2385	0.0026	0.926
SEQ1	2386	0.00144	0.925
SEQ1	2387	0.000821	0.924
SEQ1	2388	0.000868	0.924
SEQ1	2389	0.000795	0.924
SEQ1	2390	0.00118	0.924
SEQ1	2391	0.00169	0.925
SEQ1	2392	0.00222	0.925
SEQ1	2393	0.00505	0.928
SEQ1	2394	0.00627	0.932
SEQ1	2395	0.00404	0.934
SEQ1	2396	0.002	0.934
SEQ1	2397	0.000796	0.933
SEQ1	2398	0.000297	0.932
SEQ1	2399	0.000237	0.931
SEQ1	2400	0.000292	0.930
SEQ1	2401	0.000408	0.930
SEQ1	2402	0.000591	0.929
SEQ1	2403	0.000839	0.928
SEQ1	2404	0.000866	0.925
SEQ1	2405	0.000858	0.919
SEQ1	2406	0.00091	0.910
SEQ1	2407	0.000939	0.901
SEQ1	2408	0.00104	0.897
SEQ1	2409	0.00112	0.893
SEQ1	2410	0.000865	0.891
SEQ1	2411	0.000737	0.886
SEQ1	2412	0.00098	0.878
SEQ1	2413	0.0012	0.866
SEQ1	2414	0.00134	0.849
SEQ1	2415	0.00167	0.839
SEQ1	2416	0.00142	0.833
SEQ1	2417	0.00109	0.829
SEQ1	2418	0.00115	0.827
SEQ1	2419	0.00117	0.824
SEQ1	2420	0.00157	0.821
SEQ1	2421	0.00188	0.818
SEQ1	2422	0.00243	0.813
SEQ1	2423	0.00266	0.808
SEQ1	2424	0.00327	0.798
SEQ1	2425	0.00313	0.785
SEQ1	2426	0.0032	0.771
SEQ1	2427	0.00336	0.763
SEQ1	2428	0.0035	0.761
SEQ1	2429	0.00409	0.762
SEQ1	2430	0.00262	0.763
SEQ1	2431	0.00243	0.763
SEQ1	2432	0.00233	0.762
SEQ1	2433	0.00377	0.761
SEQ1	2434	0.00565	0.763
SEQ1	2435	0.00569	0.763
SEQ1	2436	0.00444	0.764
SEQ1	2437	0.00291	0.764
SEQ1	2438	0.0019	0.764
SEQ1	2439	0.00111	0.762
SEQ1	2440	0.000885	0.759
SEQ1	2441	0.00081	0.756
SEQ1	2442	0.00114	0.749
SEQ1	2443	0.00171	0.738
SEQ1	2444	0.00249	0.716
SEQ1	2445	0.00355	0.684
SEQ1	2446	0.00339	0.662
SEQ1	2447	0.00262	0.652
SEQ1	2448	0.00312	0.650
SEQ1	2449	0.00355	0.652
SEQ1	2450	0.004	0.655
SEQ1	2451	0.00291	0.657
SEQ1	2452	0.0026	0.658
SEQ1	2453	0.00258	0.657
SEQ1	2454	0.00304	0.653
SEQ1	2455	0.00448	0.648
SEQ1	2456	0.00791	0.643
SEQ1	2457	0.0137	0.642
SEQ1	2458	0.0151	0.641
SEQ1	2459	0.018	0.642
SEQ1	2460	0.0106	0.640
SEQ1	2461	0.00893	0.641
SEQ1	2462	0.00836	0.644
SEQ1	2463	0.00765	0.645
SEQ1	2464	0.0078	0.644
SEQ1	2465	0.00817	0.642
SEQ1	2466	0.00703	0.639
SEQ1	2467	0.011	0.641
SEQ1	2468	0.0133	0.648
SEQ1	2469	0.00982	0.653
SEQ1	2470	0.00936	0.656
SEQ1	2471	0.00824	0.654
SEQ1	2472	0.0125	0.643
SEQ1	2473	0.0127	0.617
SEQ1	2474	0.0198	0.591
SEQ1	2475	0.0217	0.582
SEQ1	2476	0.0235	0.591
SEQ1	2477	0.0162	0.600
SEQ1	2478	0.00846	0.603
SEQ1	2479	0.00564	0.604
SEQ1	2480	0.00441	0.602
SEQ1	2481	0.00366	0.597
SEQ1	2482	0.0049	0.595
SEQ1	2483	0.00813	0.600
SEQ1	2484	0.00944	0.607
SEQ1	2485	0.00922	0.614
SEQ1	2486	0.0107	0.622
SEQ1	2487	0.011	0.630
SEQ1	2488	0.0101	0.636
SEQ1	2489	0.0123	0.644
SEQ1	2490	0.0108	0.651
SEQ1	2491	0.0121	0.658
SEQ1	2492	0.0123	0.664
SEQ1	2493	0.00839	0.664
SEQ1	2494	0.00754	0.664
SEQ1	2495	0.00626	0.667
SEQ1	2496	0.00662	0.672
SEQ1	2497	0.0081	0.679
SEQ1	2498	0.00903	0.687
SEQ1	2499	0.011	0.697
SEQ1	2500	0.00965	0.706
SEQ1	2501	0.00583	0.711
SEQ1	2502	0.00338	0.713
SEQ1	2503	0.00328	0.714
SEQ1	2504	0.0034	0.716
SEQ1	2505	0.00542	0.718
SEQ1	2506	0.00516	0.719
SEQ1	2507	0.00516	0.719
SEQ1	2508	0.00402	0.716
SEQ1	2509	0.00319	0.714
SEQ1	2510	0.00237	0.712
SEQ1	2511	0.00248	0.711
SEQ1	2512	0.00323	0.711
SEQ1	2513	0.00524	0.713
SEQ1	2514	0.00764	0.719
SEQ1	2515	0.00931	0.727
SEQ1	2516	0.00918	0.735
SEQ1	2517	0.00986	0.744
SEQ1	2518	0.00996	0.753
SEQ1	2519	0.0103	0.762
SEQ1	2520	0.00792	0.767
SEQ1	2521	0.0066	0.771
SEQ1	2522	0.00533	0.774
SEQ1	2523	0.00369	0.777
SEQ1	2524	0.00427	0.780
SEQ1	2525	0.00635	0.786
SEQ1	2526	0.0117	0.797
SEQ1	2527	0.0142	0.810
SEQ1	2528	0.0119	0.819
SEQ1	2529	0.00697	0.821
SEQ1	2530	0.00486	0.821
SEQ1	2531	0.00333	0.821
SEQ1	2532	0.00226	0.820
SEQ1	2533	0.00279	0.822
SEQ1	2534	0.00373	0.825
SEQ1	2535	0.00791	0.832
SEQ1	2536	0.0127	0.844
SEQ1	2537	0.0208	0.863
SEQ1	2538	0.0217	0.883
SEQ1	2539	0.0159	0.897
SEQ1	2540	0.00622	0.898
SEQ1	2541	0.00274	0.895
SEQ1	2542	0.00168	0.892
SEQ1	2543	0.00113	0.891
SEQ1	2544	0.00147	0.892
SEQ1	2545	0.0027	0.894
SEQ1	2546	0.00628	0.900
SEQ1	2547	0.00886	0.909
SEQ1	2548	0.01	0.919
SEQ1	2549	0.00688	0.925
SEQ1	2550	0.00399	0.928
SEQ1	2551	0.00199	0.929
SEQ1	2552	0.000794	0.929
SEQ1	2553	0.00052	0.929
SEQ1	2554	0.000539	0.928
SEQ1	2555	0.000645	0.928
SEQ1	2556	0.000965	0.928
SEQ1	2557	0.00128	0.928
SEQ1	2558	0.00159	0.929
SEQ1	2559	0.00163	0.930
SEQ1	2560	0.0015	0.930
SEQ1	2561	0.000967	0.930
SEQ1	2562	0.00122	0.929
SEQ1	2563	0.00152	0.929
SEQ1	2564	0.00182	0.930
SEQ1	2565	0.0022	0.931
SEQ1	2566	0.00309	0.933
SEQ1	2567	0.00348	0.935
SEQ1	2568	0.00347	0.936
SEQ1	2569	0.00208	0.936
SEQ1	2570	0.000794	0.934
SEQ1	2571	0.000349	0.931
SEQ1	2572	0.000261	0.928
SEQ1	2573	0.000319	0.926
SEQ1	2574	0.000908	0.923
SEQ1	2575	0.0029	0.923
SEQ1	2576	0.00957	0.928
SEQ1	2577	0.0111	0.936
SEQ1	2578	0.00715	0.941
SEQ1	2579	0.00287	0.942
SEQ1	2580	0.000896	0.939
SEQ1	2581	0.000364	0.934
SEQ1	2582	0.000232	0.928
SEQ1	2583	0.000259	0.924
SEQ1	2584	0.000608	0.922
SEQ1	2585	0.0019	0.922
SEQ1	2586	0.00358	0.924
SEQ1	2587	0.00406	0.927
SEQ1	2588	0.00329	0.930
SEQ1	2589	0.00241	0.931
SEQ1	2590	0.00131	0.931
SEQ1	2591	0.000754	0.929
SEQ1	2592	0.000387	0.926
SEQ1	2593	0.000276	0.923
SEQ1	2594	0.000257	0.920
SEQ1	2595	0.000447	0.918
SEQ1	2596	0.00101	0.915
SEQ1	2597	0.00242	0.913
SEQ1	2598	0.00382	0.914
SEQ1	2599	0.00274	0.915
SEQ1	2600	0.0023	0.914
SEQ1	2601	0.00222	0.913
SEQ1	2602	0.00164	0.911
SEQ1	2603	0.00121	0.904
SEQ1	2604	0.00107	0.891
SEQ1	2605	0.0012	0.877
SEQ1	2606	0.00159	0.861
SEQ1	2607	0.00265	0.853
SEQ1	2608	0.00306	0.847
SEQ1	2609	0.00324	0.842
SEQ1	2610	0.00379	0.838
SEQ1	2611	0.00426	0.835
SEQ1	2612	0.005	0.831
SEQ1	2613	0.00626	0.831
SEQ1	2614	0.00463	0.824
SEQ1	2615	0.00497	0.816
SEQ1	2616	0.00497	0.811
SEQ1	2617	0.00544	0.807
SEQ1	2618	0.00476	0.804
SEQ1	2619	0.00377	0.795
SEQ1	2620	0.00406	0.786
SEQ1	2621	0.00518	0.772
SEQ1	2622	0.00798	0.758
SEQ1	2623	0.00845	0.743
SEQ1	2624	0.0103	0.737
SEQ1	2625	0.00964	0.738
SEQ1	2626	0.01	0.743
SEQ1	2627	0.00767	0.746
SEQ1	2628	0.00533	0.748
SEQ1	2629	0.00405	0.747
SEQ1	2630	0.00318	0.742
SEQ1	2631	0.00495	0.737
SEQ1	2632	0.00932	0.737
SEQ1	2633	0.0137	0.740
SEQ1	2634	0.0213	0.751
SEQ1	2635	0.0208	0.761
SEQ1	2636	0.0148	0.764
SEQ1	2637	0.00617	0.759
SEQ1	2638	0.00374	0.751
SEQ1	2639	0.00278	0.741
SEQ1	2640	0.00244	0.735
SEQ1	2641	0.00235	0.730
SEQ1	2642	0.00225	0.726
SEQ1	2643	0.00372	0.723
SEQ1	2644	0.01	0.725
SEQ1	2645	0.0209	0.737
SEQ1	2646	0.0328	0.759
SEQ1	2647	0.0214	0.771
SEQ1	2648	0.00761	0.772
SEQ1	2649	0.00233	0.771
SEQ1	2650	0.00132	0.769
SEQ1	2651	0.000898	0.767
SEQ1	2652	0.00106	0.763
SEQ1	2653	0.00231	0.760
SEQ1	2654	0.00298	0.757
SEQ1	2655	0.00506	0.759
SEQ1	2656	0.00733	0.763
SEQ1	2657	0.00802	0.768
SEQ1	2658	0.00704	0.773
SEQ1	2659	0.00399	0.774
SEQ1	2660	0.0023	0.771
SEQ1	2661	0.00195	0.765
SEQ1	2662	0.00107	0.757
SEQ1	2663	0.000815	0.748
SEQ1	2664	0.000895	0.739
SEQ1	2665	0.00177	0.731
SEQ1	2666	0.00461	0.726
SEQ1	2667	0.00892	0.727
SEQ1	2668	0.00868	0.729
SEQ1	2669	0.00667	0.730
SEQ1	2670	0.00367	0.730
SEQ1	2671	0.00226	0.728
SEQ1	2672	0.00164	0.723
SEQ1	2673	0.00163	0.713
SEQ1	2674	0.00158	0.701
SEQ1	2675	0.00233	0.691
SEQ1	2676	0.00388	0.688
SEQ1	2677	0.00453	0.688
SEQ1	2678	0.00611	0.690
SEQ1	2679	0.0087	0.697
SEQ1	2680	0.00751	0.701
SEQ1	2681	0.0108	0.709
SEQ1	2682	0.0121	0.713
SEQ1	2683	0.0108	0.711
SEQ1	2684	0.00956	0.700
SEQ1	2685	0.00897	0.687
SEQ1	2686	0.00975	0.681
SEQ1	2687	0.0152	0.690
SEQ1	2688	0.0141	0.701
SEQ1	2689	0.0191	0.718
SEQ1	2690	0.02	0.737
SEQ1	2691	0.0123	0.748
SEQ1	2692	0.00962	0.755
SEQ1	2693	0.00679	0.756
SEQ1	2694	0.00497	0.752
SEQ1	2695	0.00468	0.746
SEQ1	2696	0.0031	0.743
SEQ1	2697	0.0031	0.742
SEQ1	2698	0.00401	0.744
SEQ1	2699	0.00461	0.748
SEQ1	2700	0.00568	0.753
SEQ1	2701	0.00722	0.759
SEQ1	2702	0.00725	0.766
SEQ1	2703	0.00733	0.772
SEQ1	2704	0.00395	0.775
SEQ1	2705	0.00233	0.776
SEQ1	2706	0.00131	0.775
SEQ1	2707	0.00052	0.774
SEQ1	2708	0.000469	0.774
SEQ1	2709	0.000552	0.773
SEQ1	2710	0.0007	0.773
SEQ1	2711	0.000947	0.772
SEQ1	2712	0.00152	0.771
SEQ1	2713	0.00197	0.770
SEQ1	2714	0.00252	0.769
SEQ1	2715	0.00275	0.768
SEQ1	2716	0.00205	0.768
SEQ1	2717	0.00117	0.769
SEQ1	2718	0.000659	0.769
SEQ1	2719	0.000356	0.769
SEQ1	2720	0.000358	0.769
SEQ1	2721	0.000432	0.768
SEQ1	2722	0.000592	0.766
SEQ1	2723	0.000974	0.758
SEQ1	2724	0.00173	0.748
SEQ1	2725	0.00226	0.743
SEQ1	2726	0.00207	0.743
SEQ1	2727	0.00177	0.743
SEQ1	2728	0.00123	0.744
SEQ1	2729	0.000907	0.745
SEQ1	2730	0.000725	0.745
SEQ1	2731	0.00059	0.745
SEQ1	2732	0.000758	0.744
SEQ1	2733	0.000978	0.742
SEQ1	2734	0.00117	0.739
SEQ1	2735	0.00171	0.737
SEQ1	2736	0.00157	0.736
SEQ1	2737	0.00097	0.736
SEQ1	2738	0.000382	0.736
SEQ1	2739	0.000176	0.735
SEQ1	2740	0.00016	0.735
SEQ1	2741	0.00021	0.735
SEQ1	2742	0.000402	0.735
SEQ1	2743	0.0009	0.735
SEQ1	2744	0.00131	0.734
SEQ1	2745	0.00232	0.732
SEQ1	2746	0.00257	0.732
SEQ1	2747	0.00353	0.734
SEQ1	2748	0.00377	0.735
SEQ1	2749	0.00363	0.737
SEQ1	2750	0.0027	0.739
SEQ1	2751	0.00129	0.739
SEQ1	2752	0.00121	0.739
SEQ1	2753	0.00174	0.739
SEQ1	2754	0.00216	0.738
SEQ1	2755	0.00372	0.739
SEQ1	2756	0.00735	0.743
SEQ1	2757	0.011	0.750
SEQ1	2758	0.0155	0.762
SEQ1	2759	0.0119	0.769
SEQ1	2760	0.01	0.772
SEQ1	2761	0.00686	0.775
SEQ1	2762	0.00446	0.774
SEQ1	2763	0.00366	0.773
SEQ1	2764	0.00305	0.770
SEQ1	2765	0.00186	0.767
SEQ1	2766	0.00207	0.766
SEQ1	2767	0.00188	0.764
SEQ1	2768	0.00191	0.760
SEQ1	2769	0.00218	0.754
SEQ1	2770	0.00245	0.748
SEQ1	2771	0.00377	0.742
SEQ1	2772	0.00641	0.739
SEQ1	2773	0.00959	0.738
SEQ1	2774	0.00947	0.740
SEQ1	2775	0.00788	0.743
SEQ1	2776	0.0042	0.743
SEQ1	2777	0.00246	0.742
SEQ1	2778	0.00202	0.739
SEQ1	2779	0.00311	0.733
SEQ1	2780	0.00563	0.725
SEQ1	2781	0.00843	0.712
SEQ1	2782	0.0139	0.705
SEQ1	2783	0.0236	0.714
SEQ1	2784	0.0261	0.734
SEQ1	2785	0.0173	0.747
SEQ1	2786	0.0151	0.760
SEQ1	2787	0.0114	0.769
SEQ1	2788	0.0066	0.773
SEQ1	2789	0.00376	0.774
SEQ1	2790	0.00409	0.775
SEQ1	2791	0.00578	0.771
SEQ1	2792	0.0146	0.764
SEQ1	2793	0.0244	0.756
SEQ1	2794	0.033	0.767
SEQ1	2795	0.0246	0.784
SEQ1	2796	0.00936	0.792
SEQ1	2797	0.00329	0.793
SEQ1	2798	0.00121	0.794
SEQ1	2799	0.00084	0.794
SEQ1	2800	0.000775	0.792
SEQ1	2801	0.00135	0.790
SEQ1	2802	0.00276	0.788
SEQ1	2803	0.00525	0.786
SEQ1	2804	0.00732	0.785
SEQ1	2805	0.00914	0.787
SEQ1	2806	0.0101	0.794
SEQ1	2807	0.00526	0.796
SEQ1	2808	0.0024	0.797
SEQ1	2809	0.00122	0.797
SEQ1	2810	0.00122	0.797
SEQ1	2811	0.00267	0.799
SEQ1	2812	0.00442	0.802
SEQ1	2813	0.0066	0.804
SEQ1	2814	0.00723	0.802
SEQ1	2815	0.00727	0.801
SEQ1	2816	0.00503	0.799
SEQ1	2817	0.0054	0.801
SEQ1	2818	0.00698	0.806
SEQ1	2819	0.00909	0.813
SEQ1	2820	0.00833	0.820
SEQ1	2821	0.00688	0.825
SEQ1	2822	0.00547	0.828
SEQ1	2823	0.005	0.829
SEQ1	2824	0.00557	0.830
SEQ1	2825	0.00467	0.829
SEQ1	2826	0.00453	0.825
SEQ1	2827	0.00516	0.822
SEQ1	2828	0.00434	0.816
SEQ1	2829	0.00387	0.808
SEQ1	2830	0.00324	0.800
SEQ1	2831	0.0034	0.794
SEQ1	2832	0.00497	0.790
SEQ1	2833	0.00747	0.788
SEQ1	2834	0.00927	0.782
SEQ1	2835	0.00639	0.774
SEQ1	2836	0.00469	0.760
SEQ1	2837	0.00423	0.744
SEQ1	2838	0.00493	0.737
SEQ1	2839	0.00807	0.735
SEQ1	2840	0.0123	0.740
SEQ1	2841	0.0131	0.749
SEQ1	2842	0.0154	0.759
SEQ1	2843	0.0156	0.772
SEQ1	2844	0.0125	0.781
SEQ1	2845	0.0113	0.789
SEQ1	2846	0.0084	0.792
SEQ1	2847	0.00713	0.794
SEQ1	2848	0.00387	0.790
SEQ1	2849	0.00351	0.787
SEQ1	2850	0.00433	0.784
SEQ1	2851	0.00605	0.786
SEQ1	2852	0.00456	0.788
SEQ1	2853	0.00595	0.793
SEQ1	2854	0.00811	0.800
SEQ1	2855	0.00821	0.808
SEQ1	2856	0.00661	0.814
SEQ1	2857	0.00477	0.818
SEQ1	2858	0.00408	0.821
SEQ1	2859	0.00319	0.823
SEQ1	2860	0.00287	0.824
SEQ1	2861	0.003	0.824
SEQ1	2862	0.00364	0.825
SEQ1	2863	0.00354	0.827
SEQ1	2864	0.00236	0.828
SEQ1	2865	0.00172	0.829
SEQ1	2866	0.0017	0.830
SEQ1	2867	0.00128	0.831
SEQ1	2868	0.00109	0.832
SEQ1	2869	0.000983	0.832
SEQ1	2870	0.00119	0.832
SEQ1	2871	0.00158	0.832
SEQ1	2872	0.00166	0.832
SEQ1	2873	0.00226	0.832
SEQ1	2874	0.00371	0.834
SEQ1	2875	0.00559	0.838
SEQ1	2876	0.00642	0.844
SEQ1	2877	0.00755	0.851
SEQ1	2878	0.0042	0.854
SEQ1	2879	0.0017	0.855
SEQ1	2880	0.00122	0.855
SEQ1	2881	0.00112	0.855
SEQ1	2882	0.00137	0.855
SEQ1	2883	0.0022	0.856
SEQ1	2884	0.00228	0.857
SEQ1	2885	0.00219	0.859
SEQ1	2886	0.00151	0.860
SEQ1	2887	0.000987	0.861
